Time,Event context,Component,Event name,Description,Origin,IP address
"14/09/17, 14:57","Course: Technology Use in Education (SVHI.06.010), AÜ",System,Course viewed,The user with id '79398' viewed the course with id '4880'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Post updated,The user with id '79398' has updated the post with id '875957' in the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '875957' in the discussion '328901' located in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:57",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Course module viewed,The user with id '79398' viewed the 'forum' activity with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Post updated,The user with id '79398' has updated the post with id '875960' in the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Some content has been posted.,The user with id '79398' has posted content in the forum post with id '875960' in the discussion '328902' located in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328902' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
"14/09/17, 14:56",Forum: Forum,Forum,Discussion viewed,The user with id '79398' has viewed the discussion with id '328901' in the forum with course module id '342033'.,web,90.191.83.102
